Compression Level,Time (seconds),Compressed Size (bytes),Decompress Time (seconds)
0,0.002117156982421875,224704,0.002253293991088867
1,0.0028607845306396484,207830,0.002657175064086914
2,0.006402730941772461,155767,0.0021677017211914062
3,0.007288217544555664,161053,0.0021064281463623047
4,0.009986162185668945,160929,0.0015523433685302734
5,0.020498275756835938,135810,0.0016891956329345703
6,0.026653528213500977,134789,0.001691579818725586
7,0.04477977752685547,134126,0.0016324520111083984
8,0.06812095642089844,133535,0.004067659378051758
9,0.12848901748657227,133145,0.0016200542449951172
10,1.825514793395996,113687,0.001840353012084961
11,6.1087646484375,108193,0.0029473304748535156
