Algorithm,Compression Level,Time (seconds),Compressed Size (bytes)
LZMA,0,0.0305478572845459,112160
LZMA,1,0.03595685958862305,111396
LZMA,2,0.07307004928588867,110476
LZMA,3,0.08069705963134766,109364
LZMA,4,0.11516451835632324,121916
LZMA,5,0.16959238052368164,119060
LZMA,6,0.49146437644958496,116720
LZMA,7,0.5151126384735107,116720
LZMA,8,0.5344538688659668,116720
LZMA,9,0.5428605079650879,116720
Gzip,0,0.0015654563903808594,3637402
Gzip,1,0.00912022590637207,215886
Gzip,2,0.009392261505126953,211732
Gzip,3,0.00933980941772461,209763
Gzip,4,0.012925386428833008,179707
Gzip,5,0.012852907180786133,177421
Gzip,6,0.01989436149597168,169779
Gzip,7,0.0216519832611084,168908
Gzip,8,0.04902052879333496,160464
Gzip,9,0.05269455909729004,160464
BZ2,1,0.2916605472564697,128310
BZ2,2,0.312288761138916,113487
BZ2,3,0.3215601444244385,107923
BZ2,4,0.3351871967315674,105697
BZ2,5,0.33669114112854004,104020
BZ2,6,0.3708770275115967,103335
BZ2,7,0.35576653480529785,102892
BZ2,8,0.36588025093078613,101700
BZ2,9,0.4172654151916504,103244
Zstandard,1,0.0033736228942871094,220417
Zstandard,2,0.0028972625732421875,223191
Zstandard,3,0.003556489944458008,166718
Zstandard,4,0.0034193992614746094,166645
Zstandard,5,0.013811826705932617,171121
Zstandard,6,0.01507425308227539,143851
Zstandard,7,0.01972818374633789,144010
Zstandard,8,0.04296994209289551,138788
Zstandard,9,0.021981477737426758,138757
Zstandard,10,0.05354118347167969,138815
Zstandard,11,0.051618337631225586,139115
Zstandard,12,0.05446982383728027,139116
Zstandard,13,0.05760669708251953,137047
Zstandard,14,0.09043455123901367,137233
Zstandard,15,0.10233473777770996,138380
Zstandard,16,0.3788115978240967,167023
Zstandard,17,0.415421724319458,138366
Zstandard,18,0.49552392959594727,138917
Zstandard,19,1.173393726348877,115659
Zstandard,20,1.1766693592071533,115659
Zstandard,21,1.2403004169464111,115659
Zstandard,22,1.1868317127227783,115659
Brotli,0,0.002691507339477539,224704
Brotli,1,0.0028121471405029297,207830
Brotli,2,0.005432844161987305,155767
Brotli,3,0.007688283920288086,161053
Brotli,4,0.010502338409423828,160929
Brotli,5,0.020637989044189453,135810
Brotli,6,0.025881052017211914,134789
Brotli,7,0.038645267486572266,134126
Brotli,8,0.06777405738830566,133535
Brotli,9,0.1370396614074707,133145
Brotli,10,1.839928150177002,113687
Brotli,11,6.298220872879028,108193
