Compression Level,Time (seconds),Compressed Size (bytes),Decompress Time (seconds)
0,0.001535654067993164,3637402,0.0015096664428710938
1,0.008382320404052734,215886,0.0033583641052246094
2,0.009133338928222656,211732,0.0034182071685791016
3,0.008512496948242188,209763,0.0035207271575927734
4,0.013128519058227539,179707,0.0031952857971191406
5,0.015897274017333984,177421,0.003144502639770508
6,0.02258133888244629,169779,0.0038309097290039062
7,0.02380537986755371,168908,0.00299835205078125
8,0.051969289779663086,160464,0.0030846595764160156
9,0.05434226989746094,160464,0.0032889842987060547
