Compression Level,Time (seconds),Compressed Size (bytes),Decompress Time (seconds)
0,0.026577234268188477,112160,0.00824427604675293
1,0.033913373947143555,111396,0.0076198577880859375
2,0.04859161376953125,110476,0.007453441619873047
3,0.08617520332336426,109364,0.009793996810913086
4,0.1272430419921875,121916,0.00870513916015625
5,0.19128727912902832,119060,0.00877237319946289
6,0.4880385398864746,116720,0.0078887939453125
7,0.5345098972320557,116720,0.007965326309204102
8,0.5262243747711182,116720,0.009235858917236328
9,0.5560934543609619,116720,0.009377479553222656
