Compression Level,Time (seconds),Compressed Size (bytes),Decompress Time (seconds)
1,0.002969026565551758,220417,0.0012044906616210938
2,0.002852201461791992,223191,0.001239776611328125
3,0.002377033233642578,166718,0.0010442733764648438
4,0.0026154518127441406,166645,0.0010111331939697266
5,0.01161646842956543,171121,0.0010135173797607422
6,0.014123916625976562,143851,0.0009090900421142578
7,0.016450881958007812,144010,0.0010831356048583984
8,0.019248485565185547,138788,0.0007805824279785156
9,0.018526315689086914,138757,0.000850677490234375
10,0.02788710594177246,138815,0.0007855892181396484
11,0.04458284378051758,139115,0.0008187294006347656
12,0.05682730674743652,139116,0.0009047985076904297
13,0.0798187255859375,137047,0.0007920265197753906
14,0.10415339469909668,137233,0.001089334487915039
15,0.14368486404418945,138380,0.0008890628814697266
16,0.4883296489715576,167023,0.0010557174682617188
17,0.5003707408905029,138366,0.0009195804595947266
18,0.5877783298492432,138917,0.0008151531219482422
19,1.262760877609253,115659,0.0011615753173828125
20,1.2549293041229248,115659,0.0013554096221923828
21,1.1708450317382812,115659,0.0008287429809570312
22,1.139378547668457,115659,0.0008661746978759766
